"CODIGO";"CODIGO INTERNO";"TIPO";"SUB DESCRICAO";"FABRICANTE";"MARCA";"SEGMENTO";"OBS";"OBS COMPLEMENTAR";"NCM";"MINIMO";"MAXIMO";"PRECO ENTRADA";"PRECO CUSTO";"PRECO MEDIO";"PRECO VENDA";"PRECO PESQUISA";"MARKUP";"COEFICIENTE MARKUP";"QTD";"QTD MULTIPLA COMPRA";"QTD MULTIPLA VENDA";"QTD MULTIPLA APLICACAO";"ATACADO";"VAREJO";"SITUACAO";"ANTIGO";"COR";"LADO";"POSICAO";"LOCALIZACAO";"EXTREMIDADE";"USO";"IMAGEM";"GTIN";"GTIN-14";"MEDIDA";"PRAZO GARANTIA";"OBS GARANTIA";"GRUPO ITEM";"SUB GRUPO ITEM";"FORNECEDOR REFERENCIAL";"UN";"REFERENCIA";"CST/ICMS";"PRECO PROMOCAO";"SEGMENTO";"COD.IMPORTACAO XML";"BASE CALCULO ICMS RET";"% ICMS RET";"ICMS RET";"ICMS SUBSTITUTO";"PIS/COFINS";"CHAVE NFE";"RANKING CURVA ABC GERAL ITEM";"CURVA ABC GERAL ITEM";"VALOR CURVA ABC GERAL ITEM";"REGISTRO ABC GERAL ITEM";"CODIGO CURVA ABC FORNECEDOR";"VALOR CURVA ABC FORNECEDOR";"REGISTRO CURVA ABC FORNECEDOR";"UF CURVA ABC FORNECEDOR";
"46489";"";"VELA";"AQUECEDORA";"=""MM209""";"MANDO MACHINERY";"";"MAXION 2.5 2.8 8V HS 4.07TCA S10 SPRINTER (C9791)(ETC8847)";"";"8511.8010";"11,00";"13,00";"2,79";"6,35";"7,48";"52,20";"0,00";"80%";"1,8000";"10";"0,00";"1,00";"0,00";"F";"F";"";"=""MM209""";"";"";"";"=""208-B-05""";"";"";"F";"=""7899526530435""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"4082";"6.45";"18.00";"1.05";"0.11";"t";"=""35200703458819000195550000002025471447602569""";"";"";"";"";"";"";"";"";
"46490";"";"VELA";"AQUECEDORA";"=""VEMI20E""";"TAKAO";"";"MAZDA 2.0 FE";"";"8511.8010";"1,00";"3,00";"0,00";"0,00";"13,94";"0,00";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""VEMI20E""";"";"";"";"=""110-K-06""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46491";"";"VELA";"AQUECEDORA";"=""MT5166""";"MANDO MACHINERY";"";"MITSUBISHI 2.5 PAJERO SPORT";"";"8482.1090";"1,00";"3,00";"0,00";"8,94";"6,81";"12,26";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""MT5166""";"";"";"";"=""213-C-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46492";"";"VELA";"AQUECEDORA";"=""MB2007""";"MANDO MACHINERY";"";"MITSUBISHI 2.8 12VOL PAJERO 4M40 88.08MM";"";"8482.1090";"6,00";"8,00";"0,00";"4,57";"6,59";"18,32";"0,00";"80%";"1,8000";"6";"0,00";"1,00";"0,00";"F";"F";"";"=""MB2007""";"";"";"";"=""208-B-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46493";"";"VELA";"AQUECEDORA";"=""3671042020""";"MANDO MACHINERY";"";"MITSUBISHI H100 95/04 HR 05/12 L300 94/96";"";"8483.1090";"1,00";"3,00";"0,00";"3,37";"3,37";"6,07";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""3671042020""";"";"";"";"=""213-C-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46494";"";"VELA";"AQUECEDORA";"=""905794120016""";"MWM";"";"MWM 6.07";"";"8511.8010";"1,00";"3,00";"0,00";"140,69";"140,69";"253,24";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""905794120016""";"";"";"";"=""""";"";"";"F";"=""7895825115625""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46495";"";"VELA";"AQUECEDORA";"=""3798""";"GERAL PARTS";"";"NISSAN 2.7 PATHFINDER";"";"8483.1090";"1,00";"3,00";"0,00";"4,53";"4,53";"24,66";"0,00";"80%";"1,8000";"11";"0,00";"1,00";"0,00";"F";"F";"";"=""3798""";"";"";"";"=""102-C-03""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46496";"";"VELA";"AQUECEDORA";"=""RE2106""";"MANDO MACHINERY";"";"RENAULT 2.5 MASTER(RE2042)";"";"8511.8010";"6,00";"8,00";"4,52";"13,23";"12,10";"33,59";"0,00";"80%";"1,8000";"4";"0,00";"1,00";"0,00";"F";"F";"";"=""RE2106""";"";"";"";"=""208-B-05""";"";"";"F";"=""7899526577782""";"=""""";"STD";"";"";"";"";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46497";"";"VELA";"AQUECEDORA";"=""MR247""";"MANDO MACHINERY";"";"REN 2.8 MASTER/JUMPER";"";"8483.1090";"1,00";"3,00";"0,00";"7,14";"7,14";"14,28";"0,00";"80%";"1,8000";"4";"0,00";"1,00";"0,00";"F";"F";"";"=""MR247""";"";"";"";"=""208-B-05""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46498";"";"VELA";"AQUECEDORA";"=""MT039""";"MANDO MACHINERY";"";"TOYOTA 2.8 HILUX";"";"8482.1090";"1,00";"3,00";"0,00";"5,56";"5,45";"9,81";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""MT039""";"";"";"";"=""213-C-04""";"";"";"F";"=""7899526534518""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
